"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Sh3kbp11",1.89171433314992e-16,0.312561900280277,0.288,0.171,"7","Sh3kbp1"
"Cebpz1",2.05784165477734e-16,0.252656641435059,0.318,0.262,"7","Cebpz"
"Mettl91",2.28498446044412e-16,0.299230303418609,0.311,0.218,"7","Mettl9"
"Tsc22d41",3.97606871443319e-16,0.300608584874036,0.45,0.354,"7","Tsc22d4"
"Gyg6",1.18639553771539e-15,0.280581948418411,0.381,0.26,"7","Gyg"
"Mapk14",1.31200507187323e-15,0.26847383465411,0.286,0.202,"7","Mapk14"
"Abi11",4.25956454200025e-15,0.251216792046421,0.358,0.283,"7","Abi1"
"Csk2",1.96471951166177e-14,0.275281944790178,0.419,0.319,"7","Csk"
"Bcl2a1a1",2.10442788393242e-14,0.317253006452087,0.28,0.151,"7","Bcl2a1a"
"2310001H17Rik1",4.06011610322338e-14,0.288440669046618,0.293,0.163,"7","2310001H17Rik"
"Syk3",4.64573123620983e-14,0.290644049475935,0.37,0.234,"7","Syk"
"Hiatl11",7.07987689756182e-14,0.262542867048418,0.267,0.176,"7","Hiatl1"
"Pltp",7.18263676017083e-14,0.278093630827983,0.28,0.164,"7","Pltp"
"Dbnl",8.67618112886919e-14,0.259246935100281,0.388,0.315,"7","Dbnl"
"Ccm2",2.01115087672171e-13,0.273286216575123,0.272,0.176,"7","Ccm2"
"Fermt32",3.49546148719788e-13,0.266889022076076,0.311,0.204,"7","Fermt3"
"Efhd23",5.0527587498288e-13,0.250816866179684,0.447,0.382,"7","Efhd2"
"Gm267406",8.25979899075924e-13,0.275442854992333,0.409,0.273,"7","Gm26740"
"Fes1",1.48424131960847e-12,0.261101804233844,0.259,0.17,"7","Fes"
"Klf102",2.56211201943452e-12,0.26771114712316,0.322,0.221,"7","Klf10"
"Socs31",1.75622958907471e-11,0.265785294559439,0.282,0.174,"7","Socs3"
"Evl5",2.32555438438516e-11,0.262501910950047,0.345,0.238,"7","Evl"
"Slc12a21",2.40496255115274e-11,0.272477888163805,0.264,0.179,"7","Slc12a2"
"Gzma",0,4.13437455433208,0.965,0.05,"8","Gzma"
"Ccl51",0,3.81320580304697,0.993,0.132,"8","Ccl5"
"Nkg71",0,3.24778326654174,0.998,0.076,"8","Nkg7"
"AW1120106",0,2.77986402145011,0.993,0.271,"8","AW112010"
"Klre1",0,2.32255022546065,0.879,0.016,"8","Klre1"
"Klrk1",0,2.28633598995733,0.88,0.031,"8","Klrk1"
"Gzmb",0,2.21854310952611,0.676,0.012,"8","Gzmb"
"Klra4",0,2.17324387725012,0.516,0.005,"8","Klra4"
"Klra8",0,2.11240641017637,0.524,0.008,"8","Klra8"
"Klrd11",0,2.10367424361853,0.831,0.068,"8","Klrd1"
"Klrb1c",0,1.88913569963202,0.735,0.009,"8","Klrb1c"
"Ncr1",0,1.86820760351675,0.705,0.007,"8","Ncr1"
"Klra7",0,1.73678560986813,0.484,0.009,"8","Klra7"
"Ctsw1",0,1.61263448442751,0.656,0.038,"8","Ctsw"
